E0016770_LF_LAT_ITS_230;1	0.40737	0.32367	0.08370	0.23182	0.79453	0.20547	3.73410	3.04154	0.11591	0.09778	0.05364	0.35742	10.70525	54.61393	56.27410	
E0016770_LT_LAT_ITS_230;1	0.42142	0.29510	0.12632	0.18055	0.70026	0.29974	3.69816	3.47663	0.11461	0.09720	0.05092	0.36672	19.11798	69.43044	61.82110	
E0016770_RF_LAT_ITS_230;1	0.37808	0.27043	0.10764	0.17973	0.71528	0.28472	3.62377	3.34351	0.11356	0.09664	0.05005	0.35282	16.62791	62.48494	58.71879	
E0016770_RT_LAT_ITS_230;1	0.44972	0.34911	0.10062	0.18617	0.77627	0.22373	3.75076	3.24840	0.11936	0.09715	0.05545	0.35790	14.41581	57.48019	55.87843	
E0016833_LF_LAT_ITS_230;1	0.34134	0.21866	0.12268	0.15858	0.64059	0.35941	3.42408	3.37632	0.11115	0.10171	0.04901	0.35946	19.52036	59.42545	48.57280	
E0016833_LT_LAT_ITS_230;1	0.36791	0.24638	0.12153	0.14699	0.66968	0.33032	3.49982	3.29261	0.11469	0.10572	0.05011	0.35709	16.52908	55.39921	50.24675	
E0016833_RF_LAT_ITS_230;1	0.34906	0.21425	0.13481	0.16427	0.61380	0.38620	3.46758	3.58216	0.10995	0.09756	0.04674	0.35759	24.25253	68.50984	56.97684	
E0016833_RT_LAT_ITS_230;1	0.40365	0.27174	0.13191	0.15634	0.67321	0.32679	3.55388	3.49445	0.11734	0.09952	0.05160	0.35869	19.40204	65.70914	57.24760	
E0016713_LT_LAT_ITS_230;2	0.33825	0.19162	0.14663	0.13145	0.56649	0.43351	3.44454	3.70250	0.10489	0.09626	0.04470	0.36260	30.42150	67.76788	54.19830	
E0016713_LF_LAT_ITS_230;2	0.34818	0.21958	0.12860	0.18014	0.63065	0.36935	3.54145	3.46316	0.10590	0.09987	0.04669	0.36382	20.77900	65.26331	58.07232	
E0016713_RT_LAT_ITS_230;1	0.29287	0.13510	0.15777	0.09561	0.46130	0.53870	3.16102	3.86717	0.10303	0.09488	0.04152	0.35035	34.47095	67.36066	49.33457	
E0016713_RF_LAT_ITS_230;1	0.32808	0.19954	0.12854	0.15236	0.60820	0.39180	3.45813	3.56501	0.10497	0.09521	0.04597	0.36266	22.60682	66.91521	55.24257	
E0016831_LF_LAT_ITS_230;1	0.38256	0.27314	0.10942	0.18955	0.71398	0.28602	3.57382	3.39605	0.11695	0.09439	0.05118	0.35552	16.67959	63.06969	55.59863	
E0016831_LT_LAT_ITS_230;1	0.48641	0.38477	0.10164	0.20516	0.79105	0.20895	3.80285	3.21680	0.12359	0.09677	0.05665	0.36331	12.52188	63.30159	61.22509	
E0016831_RF_LAT_ITS_230;1	0.35119	0.23866	0.11253	0.15572	0.67959	0.32041	3.41721	3.45873	0.12043	0.09353	0.04967	0.35579	18.99479	60.71463	50.57916	
E0016831_RT_LAT_ITS_230;1	0.49963	0.38137	0.11826	0.21694	0.76331	0.23669	3.77383	3.39911	0.12709	0.09696	0.05586	0.36217	15.41832	65.45513	60.10963	
E0016768_LF_LAT_ITS_230;1	0.30252	0.15812	0.14440	0.11975	0.52268	0.47732	3.28744	3.78528	0.10329	0.09353	0.04309	0.35135	31.05161	69.11571	52.68423	
E0016768_LT_LAT_ITS_230;1	0.38115	0.26526	0.11589	0.13850	0.69594	0.30406	3.33117	3.41167	0.12876	0.09613	0.05578	0.35895	18.48245	56.22067	45.31680	
E0016768_RF_LAT_ITS_230;1	0.40064	0.27506	0.12558	0.16235	0.68655	0.31345	3.52044	3.47008	0.12196	0.09923	0.05172	0.35466	19.34692	67.53630	55.68354	
E0016768_RT_LAT_ITS_230;1	0.44727	0.31518	0.13209	0.21329	0.70467	0.29533	3.51029	3.52244	0.12758	0.09742	0.05720	0.36367	20.66879	63.47197	51.67197	
E0016712_LF_LAT_ITS_230;1	0.33156	0.19201	0.13955	0.14543	0.57911	0.42089	3.37403	3.66221	0.10671	0.09751	0.04686	0.35013	28.37542	65.22507	51.78155	
E0016712_LT_LAT_ITS_230;1	0.31459	0.14804	0.16655	0.09051	0.47058	0.52942	3.24094	3.94788	0.10320	0.09359	0.04214	0.35876	36.22603	73.93572	56.21423	
E0016712_RF_LAT_ITS_230;2	0.32758	0.18235	0.14523	0.13879	0.55666	0.44334	3.48321	3.71978	0.10194	0.09585	0.04233	0.35746	28.69745	77.78770	61.29737	
E0016712_RT_LAT_ITS_230;2	0.35825	0.19669	0.16156	0.11820	0.54904	0.45096	3.41088	3.88723	0.10692	0.09463	0.04637	0.35911	34.50083	78.39578	59.07264	
E0016767_LF_LAT_ITS_230;1	0.33228	0.21577	0.11650	0.15251	0.64937	0.35063	3.35439	3.36997	0.11149	0.09875	0.05128	0.36052	19.44795	55.75079	46.53102	
E0016767_LT_LAT_ITS_230;1	0.32803	0.17493	0.15310	0.11937	0.53327	0.46673	3.35844	3.65131	0.10588	0.10228	0.04362	0.34994	26.46250	66.27991	53.99669	
E0016767_RF_LAT_ITS_230;1	0.37931	0.25332	0.12599	0.17737	0.66783	0.33217	3.61573	3.46228	0.11105	0.09841	0.04826	0.36212	18.08226	70.66793	61.36577	
E0016767_RT_LAT_ITS_230;1	0.37206	0.21608	0.15599	0.12980	0.58075	0.41925	3.52484	3.73151	0.10815	0.09771	0.04563	0.36425	27.73083	77.34224	60.12202	
E0016836_RF_LAT_ITS_230;1	0.36317	0.23378	0.12939	0.17124	0.64373	0.35627	3.57347	3.57869	0.11031	0.09580	0.04645	0.35665	21.23713	74.27436	62.06579	
E0016836_RT_LAT_ITS_230;1	0.40088	0.25631	0.14457	0.15169	0.63936	0.36064	3.59953	3.69831	0.11184	0.09571	0.04916	0.35765	25.89312	75.46209	62.04577	
E0016769_RF_LAT_ITS_230;2	0.34796	0.21759	0.13037	0.14939	0.62533	0.37467	3.44768	3.53970	0.11341	0.09797	0.04682	0.35475	22.07615	66.42665	55.74784	
